Identifier sS Q6
POSCAR_361 -18.129330493298667 0.16720785494517768
POSCAR_362 -17.773505141655075 0.16315266266481723
POSCAR_363 -18.228228409101476 0.16207345737039633
POSCAR_364 -18.26205711174357 0.16497458942379964
POSCAR_365 -18.17622690089095 0.1631978453431852
POSCAR_366 -18.027980091886757 0.16327186948941452
POSCAR_367 -17.854440445324528 0.16443172945546156
POSCAR_368 -18.20126872955894 0.16263571816489467
POSCAR_369 -18.00947347809643 0.16176404896129504
POSCAR_370 -18.154819834104924 0.16305301344565912
POSCAR_371 -18.31880253549792 0.16299014220736474
POSCAR_372 -18.141573486797242 0.16300016737448825
POSCAR_373 -18.13005042374704 0.1640699323299668
POSCAR_374 -17.97172985719437 0.16638612871372713
POSCAR_375 -18.26548744975058 0.1643599217888473
POSCAR_0 -23.600786252566504 0.1450177176591438
POSCAR_1 -23.065210462392738 0.14566445731530955
POSCAR_2 -23.42073491085076 0.14428684778300677
POSCAR_3 -23.06688872678484 0.14570268259114708
POSCAR_4 -23.300903412835893 0.14590193522276124
POSCAR_5 -23.586053774955367 0.14411989926215704
POSCAR_6 -23.26490414841806 0.14545445179514885
POSCAR_7 -23.664980769618552 0.14501392562739868
POSCAR_8 -22.941464545396805 0.14822359710395872
POSCAR_9 -22.95009488755736 0.14760287793725904
POSCAR_10 -22.549066710836648 0.14778458043516762
POSCAR_11 -22.17744413404871 0.1476593761476844
POSCAR_12 -23.052863344290547 0.14724816222569279
POSCAR_13 -22.20740048568264 0.14795225502405054
POSCAR_14 -22.264547244341664 0.1499978122074888
POSCAR_15 -22.18945900969817 0.14793578370153873
POSCAR_16 -22.297306421304196 0.14975332208372247
POSCAR_17 -22.47009416753999 0.14935579593400772
POSCAR_18 -22.80418882279724 0.14791634465615935
POSCAR_19 -21.97580100542312 0.1499947809810012
POSCAR_20 -22.233841861303265 0.15104418754055265
POSCAR_21 -21.958048613894412 0.14987043124089322
POSCAR_22 -21.930812822680167 0.14996010372107002
POSCAR_23 -21.71391284535856 0.15158342711159312
POSCAR_24 -22.287607089758417 0.15073288656227135
POSCAR_25 -21.5392400768457 0.1497973700722241
POSCAR_26 -21.753741307290362 0.15243430840138703
POSCAR_27 -22.102129702900207 0.15034698435708285
POSCAR_28 -21.91594506621557 0.15162963505614402
POSCAR_29 -21.981176533800248 0.15100736617771535
POSCAR_30 -21.614082778980613 0.15504253146618463
POSCAR_31 -21.482748994623822 0.1552847234160469
POSCAR_32 -21.439971120641253 0.15052035553525597
POSCAR_33 -21.31489937881778 0.15359728531123526
POSCAR_34 -21.36267345729077 0.1520222665249518
POSCAR_35 -21.432748844584832 0.1555015929574224
POSCAR_36 -21.28633338196621 0.15641963608323398
POSCAR_37 -21.08898323087133 0.15550213690192474
POSCAR_38 -20.839815323811948 0.15830521456441182
POSCAR_39 -21.474834280132395 0.15214146167180265
POSCAR_40 -20.57256843958712 0.1582527869265744
POSCAR_41 -21.519837921956277 0.15548711648729813
POSCAR_42 -21.20609994865343 0.15930347893293925
POSCAR_43 -21.040727706545642 0.16274699876811052
POSCAR_44 -21.523523985785783 0.15734400700586487
POSCAR_45 -20.788083491727537 0.15793158581699654
POSCAR_46 -21.040541398667195 0.15698339895922017
POSCAR_47 -21.092742989492013 0.15900620249029299
POSCAR_48 -20.723937324666853 0.1600926976163134
POSCAR_49 -20.46206302533413 0.1597441444794088
POSCAR_50 -20.66732833492327 0.15796214774307651
POSCAR_51 -20.391833321814406 0.16353852739528046
POSCAR_52 -20.315063943876154 0.15807829303957685
POSCAR_53 -20.239519956770128 0.16148020914761285
POSCAR_54 -20.64519244191495 0.15946163856835624
POSCAR_55 -19.84947976770477 0.16091596393173158
POSCAR_56 -20.483211613882865 0.16038538189033316
POSCAR_57 -20.710436242716767 0.1588953750180313
POSCAR_58 -20.525525738900683 0.15944084024212038
POSCAR_59 -20.453301467357104 0.1658820631167416
POSCAR_60 -20.420522923058698 0.16362882014011346
POSCAR_61 -20.08650703138898 0.1650576324952778
POSCAR_62 -20.229439341262943 0.16444021969823236
POSCAR_63 -20.668232130850665 0.16342485676125768
POSCAR_64 -20.32357187615523 0.16420077662331412
POSCAR_65 -20.060418135246326 0.16737116816330597
POSCAR_66 -19.912859358935542 0.16836734026105807
POSCAR_67 -20.298322621819494 0.16191137705488434
POSCAR_68 -20.264142745452002 0.16454255870805057
POSCAR_69 -20.391769407683945 0.162490411983084
POSCAR_70 -19.5269868723186 0.1696000106126847
POSCAR_71 -19.939954401221314 0.1659884799938454
POSCAR_72 -20.118844394295326 0.1665417390529407
POSCAR_73 -19.76342816851756 0.16259855114125574
POSCAR_74 -19.93116155842876 0.17316613345386023
POSCAR_75 -19.44606712787094 0.17226347397402272
POSCAR_76 -19.76136041596197 0.17030150308788045
POSCAR_77 -20.226573131502583 0.16623543530614326
POSCAR_78 -19.934539849740503 0.168715467577427
POSCAR_79 -19.810777376318523 0.16850414577666056
POSCAR_80 -19.929282162545643 0.16800735196605854
POSCAR_81 -20.02038719393434 0.1689684322414766
POSCAR_82 -19.81566343145889 0.17048936757576208
POSCAR_83 -19.910981992160114 0.17083620724778967
POSCAR_84 -20.042849126546614 0.1676824500927802
POSCAR_85 -20.2693505533426 0.17146680682341853
POSCAR_86 -19.715813980097774 0.17287810662184547
POSCAR_87 -19.471875360220576 0.17740814452402287
POSCAR_88 -19.53432020409939 0.17463512906447853
POSCAR_89 -19.639642056071917 0.17085146185524744
POSCAR_90 -19.762225259902305 0.17421246695585677
POSCAR_91 -19.378754944469083 0.17628054239576507
POSCAR_92 -19.637224841352822 0.17393056994407688
POSCAR_93 -19.302931657294366 0.17655250756647056
POSCAR_94 -19.481394420360747 0.17359391126957963
POSCAR_95 -19.302776240600952 0.1754970691704657
POSCAR_96 -19.34143578472627 0.17857244126246233
POSCAR_97 -19.43482964542366 0.1742836728566514
POSCAR_98 -19.70946736536219 0.17924743958307338
POSCAR_99 -19.121854581287234 0.178357637205054
POSCAR_100 -19.877343801122407 0.17363509784651038
POSCAR_101 -18.91150502604997 0.18079681402278006
POSCAR_102 -19.435888241159677 0.17503272618772453
POSCAR_103 -19.730841883504127 0.17858237485258002
POSCAR_104 -19.64867422925312 0.1792241917588207
POSCAR_105 -19.13690952525292 0.1778449673975412
POSCAR_106 -19.417030504376854 0.1767703166322258
POSCAR_107 -19.52061801110943 0.17499130678470468
POSCAR_108 -19.417100750029533 0.17800748204571765
POSCAR_109 -19.026596076236032 0.18370954440396264
POSCAR_110 -19.105221275375335 0.18158455449938232
POSCAR_111 -19.343693680640566 0.1762562712852374
POSCAR_112 -18.88747292063257 0.18430520344217052
POSCAR_113 -19.333130150449872 0.18053285913640382
POSCAR_114 -18.66322142059453 0.18182557878156216
POSCAR_115 -19.258044231664897 0.18175882878154226
POSCAR_116 -19.171537602526207 0.18480586661493523
POSCAR_117 -19.184832035197246 0.18291233891367004
POSCAR_118 -19.062890669166134 0.18205787117248975
POSCAR_119 -19.373226396933337 0.17985738133950638
POSCAR_120 -19.227560756739 0.18205037867175436
POSCAR_121 -19.248276923565673 0.18252575543255442
POSCAR_122 -19.417415439353817 0.1810649289935714
POSCAR_123 -19.155630595373225 0.18811620742065532
POSCAR_124 -19.161333902262836 0.18021823428051664
POSCAR_125 -19.38004754075085 0.18133568922254653
POSCAR_126 -19.2019485430046 0.17958284612870876
POSCAR_127 -19.08291686256409 0.18393679838303514
POSCAR_128 -18.95578135555393 0.17794162166827457
POSCAR_129 -19.277910686674506 0.1807284368489992
POSCAR_130 -18.87337268874953 0.18307472927016602
POSCAR_131 -19.037174783478775 0.1834542392731279
POSCAR_132 -18.79857812554893 0.18849446201666073
POSCAR_133 -18.895750630031245 0.1880132554405567
POSCAR_134 -18.52740980518701 0.1843550595802184
POSCAR_135 -19.077820240501186 0.1863579937049162
POSCAR_136 -18.691779466684533 0.1857168377739327
POSCAR_137 -18.97778655325936 0.18483001919997227
POSCAR_138 -18.474080084264262 0.189117640084989
POSCAR_139 -18.90567949801909 0.183568024111773
POSCAR_140 -18.896328063696036 0.1869562874228561
POSCAR_141 -18.675442795087616 0.18743503665638417
POSCAR_142 -18.989595198657344 0.182220834587948
POSCAR_143 -18.713016091326363 0.1876365628447447
POSCAR_144 -18.60550412123909 0.19313361947059637
POSCAR_145 -18.867062529830545 0.19282237639021388
POSCAR_146 -18.384767551874127 0.19225866680806908
POSCAR_147 -18.051731703513084 0.18487343830370903
POSCAR_148 -17.816655875245342 0.17567913266684923
POSCAR_149 -17.78693483439494 0.15746939509188107
POSCAR_150 -18.099117900520866 0.16430571856834408
POSCAR_151 -17.962356019401835 0.16011365218018037
POSCAR_152 -17.514876453228982 0.16801206615014955
POSCAR_153 -17.372599994797298 0.15838125008393852
POSCAR_154 -17.567850795061638 0.16844465858956795
POSCAR_155 -17.530462335425817 0.16013310399491423
POSCAR_156 -17.520633373753267 0.15943012886040422
POSCAR_157 -17.7311491366071 0.16199231620823637
POSCAR_158 -18.016031099801136 0.164773593077301
POSCAR_159 -18.142824783664405 0.1638097944107519
POSCAR_160 -17.83751906973405 0.16105117021524049
POSCAR_161 -17.53163954342587 0.16101026322515188
POSCAR_162 -17.87351322716979 0.16427491569799355
POSCAR_163 -18.15054759513789 0.1653256143973779
POSCAR_164 -17.801569849982094 0.1637497165466066
POSCAR_165 -17.629934255652095 0.16131742418766112
POSCAR_166 -17.53127024106835 0.16370969806835772
POSCAR_167 -17.69080103408863 0.1663796501135257
POSCAR_168 -17.721655939867436 0.16072306549758283
POSCAR_169 -17.918853617773998 0.16527777976182043
POSCAR_170 -17.654950356866042 0.16315573086618795
POSCAR_171 -17.927138177112244 0.16222783341973754
POSCAR_172 -17.601738893714714 0.16706450237159362
POSCAR_173 -17.889826584901417 0.16460244181842007
POSCAR_174 -17.792209482123656 0.16520301881812635
POSCAR_175 -17.79065074857325 0.16646722609056697
POSCAR_176 -17.89223109569289 0.161508988518104
POSCAR_177 -17.78127914939783 0.16893923233635613
POSCAR_178 -17.904872620715103 0.16843283696255243
POSCAR_179 -17.73275951194269 0.16332686440940428
POSCAR_180 -17.744519834507866 0.1640582338210248
POSCAR_181 -17.50064325183414 0.16284065611933624
POSCAR_182 -17.82886003391785 0.1638421572070564
POSCAR_183 -18.070696700980157 0.1624190175427515
POSCAR_184 -17.62609970806577 0.16329309891576488
POSCAR_185 -17.650709146435446 0.16331993723171123
POSCAR_186 -17.55529150692954 0.16266148970349759
POSCAR_187 -17.621618366551733 0.16415697896614234
POSCAR_188 -17.549975284364567 0.16295494830583376
POSCAR_189 -18.056771407128856 0.1644602063237819
POSCAR_190 -17.562695767207867 0.16940251681191457
POSCAR_191 -17.737029589903752 0.16479317800157403
POSCAR_192 -17.840992642108805 0.16121919011974933
POSCAR_193 -17.859660051274474 0.1663050200877883
POSCAR_194 -17.78627947364834 0.1629959730939593
POSCAR_195 -17.697200664903704 0.16695511168081617
POSCAR_196 -17.213521290120667 0.16115046074396294
POSCAR_197 -17.930332820316377 0.16298747350156106
POSCAR_198 -17.366920820233798 0.16362372817490362
POSCAR_199 -17.538762219041338 0.16480112992622378
POSCAR_200 -17.744308446021908 0.16054172493600863
POSCAR_201 -17.820059911066615 0.1618360532970286
POSCAR_202 -17.827872174213145 0.16716657483964226
POSCAR_203 -17.879777257387367 0.1612439556192655
POSCAR_204 -17.85414601716097 0.16537879117616414
POSCAR_205 -17.969369558196824 0.16168785672184466
POSCAR_206 -17.924527786731474 0.16141552042218776
POSCAR_207 -17.573048169048693 0.16256157810569716
POSCAR_208 -17.604442729497617 0.1574202337554833
POSCAR_209 -17.846309548299526 0.1635650355893457
POSCAR_210 -18.09756167924275 0.16302696533097863
POSCAR_211 -17.21349457844878 0.16126696523576123
POSCAR_212 -17.918349439469207 0.15907611160931584
POSCAR_213 -17.776081098547703 0.16262755212631955
POSCAR_214 -17.876216926234896 0.1577229312722494
POSCAR_215 -17.848846217487484 0.1621422884499897
POSCAR_216 -17.55088436566825 0.16217363943300658
POSCAR_217 -17.91151364789963 0.16129788244312257
POSCAR_218 -17.706637768125283 0.16311276794433396
POSCAR_219 -17.51790760208519 0.16092534316775
